"","","Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)"
"Countries, territories and areas","Year"," Drivers/passengers of 4-wheeled vehicles"," Drivers/passengers of motorized 2- or 3-wheelers"," Cyclists"," Pedestrians"," Other/unspecified road users"
"occupied Palestinian territory, including east Jerusalem"," 2016","26.7","2.5","1.9","32.7","10.7"
"Oman"," 2016","","3.9","0.7","22.5","8.1"
"Pakistan"," 2016","32.3","","","",""
"Palau"," 2013","","","","100.0",""
"Panama"," 2016","52.5","4.4","5.7","40.0","17.5"
"Papua New Guinea"," 2016","16.5","","","47.5","0.0"
"Paraguay"," 2016","2.5","52.2","0.2","22.5","8.7"
"Peru"," 2016","0.3","0.6","0.2","8.1","88.6"
"Philippines"," 2016","46.8","4.7","0.1","1.0","93.9"
"Poland"," 2016","47.6","11.2","9.0","28.7","4.3"
"Portugal"," 2016","48.3","18.3","5.9","21.8","6.4"
"Qatar"," 2016","","2.2","2.8","32.0","14.6"
"Republic of Korea"," 2016","17.6","20.5","5.9","39.9","33.7"
"Republic of Moldova"," 2016","46.1","4.3","1.4","18.5","58.1"
"Romania"," 2016","57.6","4.4","9.0","37.2","3.3"
"Russian Federation"," 2016","","5.9","2.0","29.2","5.3"
"Rwanda"," 2016","46.7","","","",""
"Saint Lucia"," 2016","41.2","20.0","13.3","13.3","6.7"
"Saint Vincent and the Grenadines"," 2013","","","","47.1",""
"Samoa"," 2016","","0.0","5.9","","5.9"
"Senegal"," 2016","46.3","","","23.1",""
"Serbia"," 2016","46.7","8.7","9.4","20.0","12.5"
"Seychelles"," 2016","7.8","20.0","6.7","33.3","6.7"
"Singapore"," 2016","50.2","44.0","14.2","29.1","0.7"
"Slovakia"," 2016","46.9","8.7","7.6","16.9","4.4"
"Slovenia"," 2016","","19.2","10.0","","6.9"
"Somalia"," 2016","44.9","","","38.4",""
"South Africa"," 2016","","0.3","3.2","","13.1"
"South Sudan"," 2016","46.5","","","21.5",""
"Spain"," 2016","6.2","21.9","3.7","29.2","6.4"
"Sri Lanka"," 2016","","50.8","8.1","28.6","5.7"
"Sudan"," 2016","33.8","","","14.9","71.4"
"Suriname"," 2016","53.7","45.9","4.1","15.6","1.4"
"Sweden"," 2016","34.7","16.3","8.1","","6.3"
"Switzerland"," 2016","18.8","22.7","15.3","23.1","4.2"
"Syrian Arab Republic"," 2016","57.4h","6.4","5.9","64.7","4.2"
"Turkiye"," 2016","","14.9","1.9","23.4","38.0"
"Tajikistan"," 2016","12.3","","2.3","40.3","0.0"
"Thailand"," 2016","46.6","74.4","3.5","7.6","2.3"
"Timor-Leste"," 2016","17.3","","","",""
"Togo"," 2016","66.7","71.6","","","11.1"
"Tonga"," 2016","57.8","0.0","0.0","27.8","5.6"
"Trinidad and Tobago"," 2016","49.3h","2.2","0.7","31.1","8.1"
"Tunisia"," 2016","21.7","22.9","2.5","24.6","0.7"
"Turkmenistan"," 2016","21.3","","","",""
"Uganda"," 2016","34.0","33.4","5.8","39.5","0.0"
"Ukraine"," 2016","54.5","8.7","7.1","41.9","8.4"
"United Arab Emirates"," 2016","46.2","5.5","1.5","24.3","14.2"
"United Kingdom of Great Britain and Northern Ireland"," 2016","38.5","20.5","5.5","23.7","4.1"
"United Republic of Tanzania"," 2016","63.9","22.7","8.0","29.9","0.8"
"United States of America"," 2016","30.7","14.2","2.3","15.3","4.2"
"Uruguay"," 2016","","45.7","7.0","16.6","0.0"
"Viet Nam"," 2016","52.2","","","",""
"Zambia"," 2013","48.4","","11.6","36.4",""
"Zimbabwe"," 2016","","10.2","12.2","13.7","37.2"
